instance,goal,selfContradicting,derivableFromEmpty,derivableAtAll,nonAttackedAssumption
exp_acyclic_depvary_step10_batch_yyy01.pl,a6,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy01.pl,b2,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy01.pl,d3,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy01.pl,a2,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy01.pl,f5,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy01.pl,b6,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy01.pl,c4,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy01.pl,c1,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy01.pl,a4,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy02.pl,c2,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy02.pl,w4,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy02.pl,a2,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy02.pl,c6,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy02.pl,d1,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy02.pl,b1,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy02.pl,a1,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy02.pl,d5,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy02.pl,e1,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy03.pl,z5,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy03.pl,e3,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy03.pl,c6,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy03.pl,f5,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy03.pl,e2,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy03.pl,a3,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy03.pl,d2,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy04.pl,c3,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy04.pl,b2,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy04.pl,a1,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy04.pl,b1,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy04.pl,e5,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy04.pl,b5,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy04.pl,d2,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy04.pl,s5,false,false,true,false
exp_acyclic_depvary_step10_batch_yyy05.pl,a4,false,false,true,false
